source;region;zone;date;cases;type;Nationalite
com;x;x;2020-03-01;0;DECES;SENEGAL
com;x;x;2020-03-01;0;GUERIS;SENEGAL
com;x;x;2020-03-01;0;CONFIRMES;SENEGAL
communique 1;DAKAR;AIBD;2020-03-02;1;CONFIRMES;FRANCE
communique 2;DAKAR;AIBD;2020-03-03;1;CONFIRMES;FRANCE
communique 3;DAKAR;AIBD;2020-03-04;1;CONFIRMES;FRANCE
communique 3;DAKAR;AIBD;2020-03-04;1;CONFIRMES;LONDRES
communique 5;DAKAR;DAKAR;2020-03-06;1;GUERIS;FRANCE
communique 6;DAKAR;DAKAR;2020-03-07;0;X;X
communique 7;DAKAR;DAKAR;2020-03-08;0;X;X
communique 8;DAKAR;DAKAR;2020-03-09;0;X;X
communique 9;DAKAR;DAKAR;2020-03-10;0;X;X
communique 10;DAKAR;DAKAR;2020-03-11;1;CONFIRMES;SENEGAL
communique 10;DAKAR;AIBD;2020-03-11;1;GUERIS;LONDRES
communique 11;DAKAR;TOUBA;2020-03-12;5;CONFIRMES;SENEGAL
communique 12;TOUBA;TOUBA;2020-03-13;11;CONFIRMES;SENEGAL
communique 15;DAKAR;AIBD;2020-03-16;1;CONFIRMES;FRANCE
communique 14;DAKAR;AIBD;2020-03-15;1;CONFIRMES;SENEGAL
communique 14;TOUBA;TOUBA;2020-03-15;1;CONFIRMES;SENEGAL
communique 13;TOUBA;TOUBA;2020-03-14;1;CONFIRMES;SENEGAL
communique 13;DAKAR;DAKAR;2020-03-14;1;CONFIRMES;SENEGAL
communique 13;AIBD;MBOUR;2020-03-14;1;CONFIRMES;SENEGAL
communique 16;DAKAR;AIBD;2020-03-17;3;CONFIRMES;
communique 14;TOUBA;TOUBA;2020-03-17;1;CONFIRMES;SENEGAL
communique 17;TOUBA;TOUBA;2020-03-18;1;CONFIRMES;SENEGAL
communique 17;DAKAR;AIBD;2020-03-18;3;CONFIRMES;NA
communique 17;DAKAR;DAKAR;2020-03-18;1;CONFIRMES;NA
communique 18;DAKAR;AIBD;2020-03-19;2;CONFIRMES;
communique 18;TOUBA;TOUBA;2020-03-19;1;GUERIS;
communique 18;DAKAR;DAKAR;2020-03-19;2;GUERIS;
communique 19;DAKAR;DAKAR;2020-03-20;5;CONFIRMES;NA
communique 19;DAKAR;AIBD;2020-03-20;4;CONFIRMES;
communique 20;DAKAR;DAKAR;2020-03-21;4;CONFIRMES;NA
