region,district,hc-key,lat,lon
DB,BAMBEY,sn-db,14.7998188,-15.9241886
DB,DIOURBEL,sn-db,14.7998188,-15.9241886
DB,MBACKÉ,sn-db,14.7998188,-15.9241886
DB,TOUBA,sn-db,14.7998188,-15.9241886
DK,DAKAR CENTRE,sn-dk,14.7573391,-17.3782683
DK,DAKAR NORD,sn-dk,14.7573391,-17.3782683
DK,DAKAR OUEST,sn-dk,14.7573391,-17.3782683
DK,DAKAR SUD,sn-dk,14.7573391,-17.3782683
DK,DIAMNIADIO,sn-dk,14.7573391,-17.3782683
DK,GUÉDIAWAYE,sn-dk,14.7573391,-17.3782683
DK,KEUR MASSAR,sn-dk,14.7573391,-17.3782683
DK,MBAO,sn-dk,14.7573391,-17.3782683
DK,PIKINE,sn-dk,14.7573391,-17.3782683
DK,RUFISQUE,sn-dk,14.7573391,-17.3782683
DK,SANGALKAM,sn-dk,14.7573391,-17.3782683
DK,YEUMBEUL,sn-dk,14.7573391,-17.3782683
FK,DIOFFIOR,sn-fk,14.3344751,-16.4178872
FK,FATICK,sn-fk,14.3344751,-16.4178872
FK,FOUNDIOUGNE,sn-fk,14.3344751,-16.4178872
FK,GOSSAS,sn-fk,14.3344751,-16.4178872
FK,NIAKHAR,sn-fk,14.3344751,-16.4178872
FK,PASSY,sn-fk,14.3344751,-16.4178872
FK,SOKONE,sn-6978,,
KD,KOLDA,sn-680,13.1458502,-14.1191911
KD,MÉDINA YORO FOULAH,sn-680,13.1458502,-14.1191911
KD,VÉLINGARA,sn-680,13.1458502,-14.1191911
KEDOUGOU,KÉDOUGOU,sn-6976,,
KEDOUGOU,SALÉMATA,sn-6976,,
KEDOUGOU,SARAYA,sn-6976,,
KF,BIRKELANE,sn-6978,,
KF,KAFFRINE,sn-6978,,
KF,KOUNGUEUL,sn-6978,13.770901,-13.6778873
KF,MALEM HODDAR,sn-6978,,
KL,GUINGUINÉO,sn-1181,14.157296,-16.0873319
KL,KAOLACK,sn-1181,14.157296,-16.0873319
KL,NDOFFANE,sn-1181,14.157296,-16.0873319
KL,NIORO DU RIP,sn-1181,14.157296,-16.0873319
LG,COKI,sn-lg,15.6173263,-16.255818
LG,DAHRA,sn-lg,15.6173263,-16.255818
LG,DAROU MOUSTY,sn-lg,15.6173263,-16.255818
LG,KÉBÉMER,sn-lg,15.6173263,-16.255818
LG,KEUR MOMAR SARR,sn-lg,15.6173263,-16.255818
LG,LINGUÈRE,sn-lg,15.6173263,-16.255818
LG,LOUGA,sn-lg,15.6173263,-16.255818
LG,SAKAL,sn-lg,15.6173263,-16.255818
MT,KANEL,sn-sl,,
MT,MATAM,sn-sl,,
MT,RANÉROU,sn-sl,,
MT,THILOGNE,sn-sl,,
SD,BOUNKILING,sn-kd,12.704524,-15.5773475
SD,GOUDOMP,sn-kd,12.704524,-15.5773475
SD,SÉDHIOU,sn-kd,12.704524,-15.5773475
SL,DAGANA,sn-6975,16.0200352,-16.4933187
SL,PÉTÉ,sn-6975,16.0200352,-16.4933187
SL,PODOR,sn-6975,16.0200352,-16.4933187
SL,RICHARD TOLL,sn-6975,16.0200352,-16.4933187
SL,SAINT LOUIS,sn-6975,16.0200352,-16.4933187
TC,BAKEL,sn-tc,13.770897,-13.6778869
TC,DIANKHE MAKHA,sn-tc,13.770898,-13.6778870
TC,GOUDIRY,sn-tc,13.770899,-13.6778871
TC,KIDIRA,sn-tc,13.770900,-13.6778872
TC,KOUPENTOUM,sn-6978,,
TC,MAKACOULIBANTANG,sn-tc,13.770902,-13.6778874
TC,TAMBACOUNDA,sn-tc,13.770903,-13.6778875
TH,DIAKHAO,sn-th,14.7886458,-16.9622892
TH,JOAL,sn-th,14.7886451,-16.9622885
TH,KHOMBOLE,sn-th,14.7886452,-16.9622886
TH,MBOUR,sn-th,14.7886453,-16.9622887
TH,MÉKHÉ,sn-th,14.7886454,-16.9622888
TH,POPENGUINE,sn-th,14.7886455,-16.9622889
TH,POUT,sn-th,14.7886456,-16.9622890
TH,THIADIAYE,sn-th,14.7886457,-16.9622891
TH,THIÈS,sn-th,14.7886458,-16.9622892
TH,TIVAOUANE,sn-th,14.7886459,-16.9622893
ZIG,BIGNONA,sn-zg,12.5598984,-16.3092032
ZIG,DIOULOULOU,sn-zg,12.5598985,-16.3092033
ZIG,OUSSOUYE,sn-zg,12.5598986,-16.3092034
ZIG,THIONCK-ESSYL,sn-zg,12.5598987,-16.3092035
ZIG,ZIGUINCHOR,sn-zg,12.5598988,-16.3092036
